Key,Type,Desc,English,Georgian,French,German,Italian,Portuguese,Spain,Russian,,TempGeorgianToTranslate
TEXT_SHARE_THE_APP_WITH_OTHER_PARENTS,Text,,Share the App With Other Parents,გაუზიარეთ აპლიკაცია სხვა მშობლებს,Partager L’application Avec D’autres Parents,Teilen Sie die App mit Anderen Eltern,Condividi la App con Altri Genitori,Compartilhar o Aplicativo com Outros Pais,Comparte la Aplicación con Otros Padres,Поделитесь Приложением с Другими Родителями,,
"TEXT_""16_TODDLER_GAMES_FOR_2-4_YEAR_OLDS._FREE!_DOWNLOAD_NOW:_HTTPS://WWW.TALGAME.COM/GO/KS""""""",Text,,"16 Toddler Games for 2-4 Year Olds. Free! Download Now: Https://www.talgame.com/go/ks""","16 საბავშვო თამაში 2-დან 4 წლამდე ბავშვებისთვის. გადმოწერეთ უფასოდ: Https://www.talgame.com/go/ks""","16 jeux Pour les Tout-petits Âgés de 2 à 4 ans. Gratuit ! Télécharger Maintenant : Https://www.talgame.com/go/ks""","16 Kleinkindspiele für Zwei- bis Vierjährige. Kostenlos! Jetzt Herunterladen: Https://www.talgame.com/go/ks""","16 Giochi per Bambini di 2-4 Anni Gratis! Scarica Subito:: Https://www.talgame.com/go/ks""","16 Jogos Para Bebês de 2-4 Anos de Idade. Grátis! Baixe Agora: Https://www.talgame.com/go/ks""","16 Juegos Para Niños Pequeños de 2 a 4 Años. ¡gratis! Descárgalo Ya: Https://www.talgame.com/go/ks""","16 Игр Для Малышей 2–4 Лет. Бесплатно! Скачать Сейчас: Https://www.talgame.com/go/ks""",,"16  თამაში 2-დან 4 წლამდე გავშვებისთვის, უფასოდ! გადმოწერეთ ბმულიდან: Https://www.talgame.com/go/ks"""
TEXT_SHARE_TO_UNLOCK_THE_GAME_FOR_FREE,Text,,Share to Unlock the Game for Free,,Partager Pour Débloquer Gratuitement le jeu,"Teilen, um das Spiel Gratis Freizuschalten",Condividi per Sbloccare il Gioco Gratuitamente,Compartilhe Para Desbloquear o Jogo de Forma Gratuita,Comparte Para Desbloquear el Juego Gratis,"Поделитесь, Чтобы Открыть Игру Бесплатно",,
TEXT_GAME_UNLOCKED,Text,,Game Unlocked,,Jeu Débloqué,Spiel Freigeschaltet,Gioco Sbloccato,Jogo Desbloqueado,Juego Desbloqueado,Игра Открыта,,
TEXT_RATE_THE_GAME,Text,,Rate the Game,შეაფასეთ თამაში,Évaluer le jeu,Das Spiel Bewerten,Valuta il Gioco,Classifique o Jogo,Valora el Juego,Оцените Игру,,
TEXT_TELL_US_HOW_YOUR_CHILD_ENJOYS_OUR_APP,Text,,Tell us How Your Child Enjoys Our App,"გვითხარით, თუ რამდენად მოსწონს თქვენს ბავშვს ჩვენი თამაშები",Dites-nous Comment Votre Enfant Apprécie Notre Application,"Teilen Sie uns Mit, wie Ihrem Kind Unsere App Gefällt",Facci Sapere se al tuo Bambino Piace la Nostra App,Conte-nos Como seu Filho(a) Aproveita o Nosso Aplicativo,Cuéntanos Cómo Disfruta tu Hijo de Nuestra Aplicación,"Расскажите о Том, Понравилось ли Приложение Вашему Малышу",,
TEXT_RATE,Text,,RATE,შეფასება,ÉVALUER,BEWERTEN,VALUTA,CLASSIFIQUE,VALORAR,ОЦЕНИТЬ,,
TEXT_GAME_SETTINGS,Text,,Game Settings,თამაშის პარამეტრები,Paramètres du jeu,SPIELEINSTELLUNGEN,Impostazioni di Gioco,Configurações do Jogo,Ajustes del Juego,Настройки Игры,,
TEXT_BACKGROUND_MUSIC,Text,,Background Music,ფონური მუსიკა,Musique de Fond,MUSIK,Musica di Sottofondo,Música de Fundo,Música de Fondo,Фоновая Музыка,,
TEXT_SOUND_EFFECTS,Text,,Sound Effects,საუნდ ეფექტები,Effets Sonores,SOUNDEFFEKTE,Effetti Sonori,Efeitos Sonoros,Efectos de Sonido,ЭФФЕКТЫ,,
TEXT_PRIVACY_POLICY,Text,,Privacy Policy,კონფიდენციალურობის პოლიტიკა,Politique de Confidentialité,DATENSCHUTZBESTIMMUNGEN,Informativa Sulla Privacy,Politica de Privacidade,Política de Privacidad,Политика Конфиденциальности,,
TEXT_NEW_LEARNING_GAMES,Text,,New Learning Games,,Nouveaux Jeux Éducatifs,Neue Lernspiele,Nuovi Giochi Educativi,Novos Jogos de Aprendizagem,Nuevos Juegos de Aprendizaje,Новые Обучающие Игры,,
TEXT_INSTALL_NOW,Text,,Install Now,,Installer Maintenant,Jetzt Installieren,Installa Subito,Instale Agora,Instalar Ahora,Установить Сейчас,,
TEXT_OUR_OTHER_APPS,Text,,Our Other Apps,ჩვენი აპლიკაციები,Nos Autres Applications,Unsere Anderen Apps,Le Altre Nostre App,Nossos Outros Aplicativos,Otras de Nuestras Aplicaciones,Другие Наши Приложения,,
TEXT_FREE,Text,,FREE,უფასო,GRATUIT,KOSTENLOS,GRATIS,GRÁTIS,GRATIS,БЕСПЛАТНО,,უფასო
"TEXT_""COLORS","_SHAPES_&_MORE""",Text,,,"Colors, Shapes & More","Couleurs, Formes et Plus Encore","Farben, Formen & Mehr","Colori, Forme e Molto di più","Cores, Formas e Mais","Colores, Formas y más",,
"TEXT_""KID-FRIENDLY","_NO_ADS!""",Text,,,"Kid-friendly, no Ads!","Adapté aux Enfants, Sans Publicité !","Kinderfreundlich, Keine Werbeanzeigen!","A Prova di Bambino, Senza Pubblicità!","Amigo das Crianças, sem Anúncios!",Apto Para Niños. ¡sin Anuncios!,,
TEXT_UNLOCK__MORE_GAMES,Text,,Unlock  More Games,,Débloquer Plus de Jeux,Weitere Spiele Freischalten,Sblocca Altri Giochi,Desbloqueie Mais Jogos,Desbloquear más Juegos,Откройте Больше Игр,,
TEXT_DON'T_SHOW_AGAIN,Text,,Don't Show Again,,Ne Plus Afficher,Nicht Erneut Anzeigen,Non Mostrare di Nuovo,Não Mostrar Novamente,No Volver a Mostrar,Больше не Показывать,,
TEXT_WRITE_A_REVIEW_TO_UNLOCK_ALL,Text,,Write a Review to Unlock All,,Écrire un Commentaire Pour Tout Débloquer,"Einen Bewertungsbericht Verfassen, um Alle Freizuschalten",Scrivi una Recensione per Sbloccarli Tutti,Escreva uma Crítica Para Desbloquear Todos,Escribe una Opinión Para Desbloquear Todo,"Чтобы Открыть Все, Поделитесь Своим Отзывом",,
TEXT_UNLOCK_ALL,Text,,Unlock All,,Tout Débloquer,Alle Freischalten,Sbloccali Tutti,Desbloquear Todos,Desbloquear Todo,Открыть Все,,
TEXT_-_OR_-,Text,,- or -,- ან -,- ou -,– Oder –,- o -,- ou -,- o -,- или -,,
TEXT_TO_STORE,Text,,To Store,,Pour Enregistrer,Zum Geschäft,Al Negozio,Para Loja,A la Tienda,В Магазин,,
TEXT_NO_INTERNET_CONNECTION,Text,,No Internet Connection,ინტერნეტთან წვდომა შეზღუდულია,Pas de Connexion Internet,Keine Internetverbindung,Nessuna Connessione Internet,Sem Ligação à Internet,Sin Conexión a Internet,Нет Подключения к Интернету,,
TEXT_RESTORE,Text,,RESTORE,აღდგენა,RESTAURER,WIEDERHERSTELLEN,RIPRISTINA,RESTAURAR,RESTAURAR,ВОССТАНОВИТЬ,,
TEXT_LOADING,Text,,LOADING,იტვირთება,Chargement en Cours,Wird Geladen,Caricamento in Corso,A Carregar,CARGANDO,Выполняется Загрузка,,იტვირთება
TEXT_,Text,,,,,,,,,,,
TEXT_PURCHASING...,Text,,PURCHASING...,,Achat en Cours...,Wird Gekauft ...,ACQUISTO…,A Comprar...,COMPRANDO...,Выполняется Покупка...,,
TEXT_PURCHASE_IS_SUCCESSFUL,Text,,Purchase is Successful,,Achat Effectué Avec Succès,Kauf Erfolgreich,Acquisto Effettuato con Successo,Compra com Sucesso,La Compra se ha Realizado Correctamente,Покупка Удалась,,
TEXT_PURCHASE_FAILED,Text,,Purchase Failed,,Échec de L’achat,Kauf Fehlgeschlagen,Acquisto Fallito,Compra Falhou,Se ha Producido un Error al Realizar la Compra,Покупка не Удалась,,
TEXT_COME_BACK!_LET'S_PLAY!,Text,,Come Back! Let's Play!,,Revenez ! Jouons !,Komm Wieder! Lass uns Spielen!,Ritorna! Giochiamo!,Volte! Vamos Jogar!,¡vuelve! ¡juguemos!,Приходите Еще! Давайте Играть!,,
TEXT_SETTINGS,Text,,SETTINGS,,PARAMÈTRES,EINSTELLUNGEN,IMPOSTAZIONI,CONFIGURAÇÕES,AJUSTES,НАСТРОЙКИ,,
TEXT_50+_GAMES_NEW_APP,Text,,50+ Games New App,,Nouvelle Application de Plus de 50 jeux,50+ Spiele in der Neuen App,Nuova App 50+ Giochi,Novo App 50+ Jogos,Más de 50 Juegos en la Nueva Aplicación,50+ Игр в Новом Приложении,,
TEXT_BLUE,Text,,BLUE,,BLEU,BLAU,BLU,AZUL,AZUL,СИНИЙ,,
TEXT_OGGY'S_FARM,Text,,Oggy's Farm,ოგის ფერმა,Ferme D’oggy,Oggys Bauernhof,La Fattoria di Oggy,Fazenda do Oggy,La Granja de Oggy,Ферма Огги,,ოგის ფერმა
TEXT_FOREST_ADVENTURE,Text,,Forest Adventure,ტყის თავგადასავალი,Aventure en Forêt,WALDABENTEUER,Avventura Nella Foresta,Aventura na Floresta,Aventura en el Bosque,Лесное Приключение,,ტყის თავგადასავალი
TEXT_FOREST_ADVENTURE_GAME,Text,,Forest Adventure,თამაშები,Aventure en Forêt,WALDABENTEUER,Avventura Nella Foresta,Aventura na Floresta,Aventura en el Bosque,Лесное Приключение,,ტყის თავგადასავალი
TEXT_FARM_OR_THE_WILD,Text,,Farm or the Wild,შინაური თუ გარეული?,La Ferme ou L’état Sauvage,Bauernhof Oder die Wildnis,Fattoria o la Natura Selvaggia,Fazenda ou Selvagem,La Granja o la Naturaleza,На Ферме и на Природе,,შინაური თუ გარეული?
TEXT_TOY_BOXES,Text,,Toy Boxes,სათამაშო ყუთები,Boîtes à Jouets,SPIELZEUGBOXEN,Scatole dei Giocattoli,Caixas de Brinquedos,Cajas de Juguetes,Коробки с Игрушками,,სათამაშო ყუთები
TEXT_UNDER_THE_SEA,Text,,Under the Sea,წყალქვეშა სამყარო,SOUS-MARIN,Im Meer,Nel Mare,Debaixo do mar,Bajo el mar,На Дне Морском,,წყალქვეშა სამყარო
TEXT_BATH_TIME,Text,,Bath Time,ბანაობის დროა,Heure du Bain,BADEZEIT,Momento del Bagnetto,Hora do Banho,Hora de Bañarse,Пора Купаться,,ბანაობის დროა
TEXT_DINNER_TIME,Text,,Dinner Time,სადილობის დროა,Heure du Dîner,Zeit Fürs Abendessen,Ora di Cena,Hora de Jantar,Hora de la Cena,Пора Ужинать,,მოდი ვისადილოთ
TEXT_PUZZLE_PIECES,Text,,Puzzle Pieces,თავსატეხის ნაწილები,Pièces de Puzzle,PUZZLETEILE,Tessere del Puzzle,Peças de Quebra-cabeças,Piezas de Rompecabezas,ГОЛОВОЛОМКА,,თავსატეხის ნაწილები
TEXT_YUMMY_TREATS,Text,,Yummy Treats,გემრიელობები,Délicieuses Friandises,Leckere Süssigkeiten,Dolcetti Squisiti,Guloseimas Deliciosas,Deliciosas Golosinas,Любимые Лакомства,,Yummy Treats
TEXT_BUSY_ROAD,Text,,Busy Road,დატვირთული გზები,Route Très Fréquentée,Verkehrsreiche Strasse,Strada Trafficata,Estrada Movimentada,Calle Concurrida,Бойкая Дорога,,დატვირთლი გზები
TEXT_HAPPY_DRUMS,Text,,Happy Drums,მხიარული დოლები,Tambours Joyeux,Fröhliche Trommel,Batteria Felice,Tambores Felizes,Tambores Felices,Веселые Барабаны,,მხიარული მუსიკა
TEXT_AMUSEMENT_PARK,Text,,Amusement Park,გასართობი პარკი,Parc D’attraction,FREIZEITPARK,Parco Divertimenti,Parque de Diversões,Parque de Atracciones,Парк Развлечений,,გასართობი პარკი
TEXT_HUNGRY_ANIMALS,Text,,Hungry Animals,დამშეული ცხოველები,Animaux Affamés,Hungrige Tiere,Animali Affamati,Animais Esfomeados,Animales Hambrientos,Голодные Животные,,დამშეული ცხოველები
TEXT_THE_HIDING_RABBIT,Text,,The Hiding Rabbit,ვეძებთ კურდღელს,Le Lapin qui se Cache,Das Versteckte Kaninchen,Il Coniglio Nascosto,O Coelho Escondido,El Conejo Escondido,Прячущийся Кролик,,ვიპოვოთ კურდღელი
TEXT_EAT_OR_WEAR,Text,,Eat or Wear,საკვები თუ ტანსაცმელი?,Manger ou Porter,Essen Oder Tragen,Mangia o Indossa,Comer ou Vestir,Comer o Llevar,Ешь или Носи,,საკვები თუ ტანსაცმელი?
TEXT_PREMIUM_MEMBER,Text,,Premium Member,პრემიუმ წევრი,Membre Premium,PREMIUMMITGLIED,Membro Premium,Membro Premium,Miembro Prémium,Участник Vip,,VIP წევრი
TEXT_BEAR_FAMILY,Text,,Bear Family,დათვების ოჯახი,Famille D’ours,BÄRENFAMILIE,Famiglia Degli Orsi,Familia de Ursos,Familia de Osos,Медвежья Семья,,დათვების ოჯახი
TEXT_CONSTRUCT_ROCKETS,Text,,Construct Rockets,ვაწყობთ რაკეტებს,Construire des Fusées,RAKETENBAU,Costruisci i Razzi,Construir Foguetes,Construir Cohetes,Строим Ракеты,,ავაწყოთ რაკეტები
TEXT_CLEAN_NATURE,Text,,Clean Nature,ვასუფთავებთ ბუნებას,Nature Propre,Saubere Natur,Natura Pulita,Natureza Limpa,Limpiar la Naturaleza,Чистая Природа,,დავასუფთავოთ ბუნება
TEXT_SPACE_FUN,Text,,Space Fun,ხალისი კოსმოსში,Espace de Divertissement,WELTRAUMSPASS,Divertimento Nello Spazio,Diversão no Espaço,Diversión en el Espacio,Веселье в Космосе,,თამაში კოსმოსში
TEXT_BEES_AND_FLOWERS,Text,,Bees and Flowers,ფუტკრები და ყვავილები,Abeilles et Fleurs,Bienen und Blumen,Api e Fiori,Abelhas e Flores,Abejas y Flores,Пчелы и Цветы,,ფუტკრები და ყვავილები
TEXT_BABY_ANIMALS,Text,,Baby Animals,ცხოველთა ნაშიერები,Petits D’animaux,BABYTIERE,CUCCIOLI,Animais Bebês,Animales Pequeños,Детеныши Животных,,ცხოველთა ნაშიერები
TEXT_SPACE_ADVENTURE,Text,,Space Adventure,კოსმოსური თავგადასავალი,Aventure Spatiale,WELTRAUMABENTEUER,Avventura Nello Spazio,Aventura no Espaço,Aventura Espacial,Космическое Приключение,,კოსმოსური თავგადასავლები
TEXT_TRAVELLING_TIME,Text,,Travelling Time,მივდივართ სამოგზაუროდ,Heure de Voyager,REISEZEIT,Tempo di Viaggio,Hora de Viajar,Tiempo de Viajar,Пора Путешествовать,,მივდივართ სამოგზაუროდ
TEXT_CLASSROOM_ADVENTURE,Text,,Classroom Adventure,საკლასო ოთახის თავგადასავალი,Aventure en Classe,Abenteuer im Klassenzimmer,Avventura in Aula,Aventura na Sala de Aula,Aventura en el Aula,Приключение в Классе,,საკლასო ოთახის თავგადასავალი
TEXT_FUN_TOYS,Text,,Fun Toys,სახალისო სათამაშოები,Jouets Pour S’amuser,Lustiges Spielzeug,Giocattoli Divertenti,Brinquedos Divertidos,Juguetes Divertidos,Забавные Игрушки,,სახალისო სათამაშოები
TEXT_PIZZA_TIME,Text,,Pizza Time,ვამზადებთ პიცას,Heure de la Pizza,Pizza Zeit,L’ora Della Pizza,Hora da Pizza,Hora de Pizza,Пора Есть Пиццу,,დავამზადოთ პიცა
TEXT_ANIMAL_WORLD,Text,,Animal World,ცხოველთა სამყარო,Monde des Animaux,TIERWELT,Mondo Animale,Mundo Animal,Mundo Animal,В Мире Животных,,ცხოველთა სამყარო
TEXT_BEEHIVE,Text,,BEEHIVE,ფუტკრის სკა,RUCHE,BIENENSTOCK,ALVEARE,COLMEIA,COLMENA,УЛЕЙ,,ფუტკრის სკა
TEXT_JUNK_OR_HEALTHY,Text,,Junk or Healthy,საზიანოა თუ სასარგებლო?,Indésirable ou Sain,Ungesund Oder Gesund,Cibo Malsano o Sano,Sem Qualidade ou Saudável,Saludable o no Saludable,Вредно или Полезно,,საზიანო თუ სასარგებლო
TEXT_JUNKY,Text,,JUNKY,მავნე,INDÉSIRABLE,UNGESUND,MALSANO,Sem Qualidade,No Saludable,ВРЕДНО,,საზიანო  
TEXT_HEALTHY,Text,,HEALTHY,სასარგებლო,SAIN,GESUND,SANO,SAUDÁVEL,SALUDABLE,ПОЛЕЗНО,,სასარგებლო
TEXT_MR._ASTRONAUT,Text,,Mr. Astronaut,,M. Astronaute,Herr. Astronaut,Signor Astronauta,Sr. Astronauta,Sr. Astronauta,Мистер Космонавт,,
TEXT_MRS._CHEF,Text,,Mrs. Chef,,Mme. Chef,Frau. Köchin,Signora Chef,Sra. Chef,Sra. Cocinera,Мисс Шеф-повар,,
TEXT_MRS._DOCTOR,Text,,Mrs. Doctor,,Mme. Docteur,Frau. Doktor,Signora Dottore,Sra. Doutora,Sra. Doctora,Мисс Доктор,,
TEXT_MR._FARMER,Text,,Mr. Farmer,,M. Fermier,Herr. Bauer,Signor Contadino,Sr. Agricultor,Sr. Agricultor,Мистер Фермер,,
TEXT_MR._FIREMAN,Text,,Mr. Fireman,,M. Pompier,Herr. Feuerwehrmann,Signor Pompiere,Sr. Bombeiro,Sr. Bombero,Мистер Пожарный,,
TEXT_MR._FOOTBALL_PLAYER,Text,,Mr. Football Player,,M. Joueur de Foot,Herr. Fussballspieler,Signor Calciatore,Sr. Jogador de Futebol,Sr. Jugador de Fútbol,Мистер Футболист,,
TEXT_MR._CRAFTSMAN,Text,,Mr. Craftsman,,M. Artisan,Herr. Handwerker,Signor Artigiano,Sr. Artesão,Sr. Artesano,Мистер Мастеровой,,
TEXT_MR._POLICEMAN,Text,,Mr. Policeman,,M. Policier,Herr. Polizist,Signor Poliziotto,Sr. Policial,Sr. Policía,Мистер Полицейский,,
TEXT_MR._SINGER,Text,,Mr. Singer,,M. Chanteur,Herr. Sänger,Signor Cantante,Sr. Cantor,Sr. Cantante,Мистер Певец,,
TEXT_MISS_VETERINARIAN,Text,,Miss Veterinarian,,Mlle Vétérinaire,Fräulein Tierärztin,Signorina Veterinaria,Senhorita Veterinária,Señorita Veterinaria,Мисс Ветеринар,,
TEXT_MISS_DEER,Text,,Miss Deer,,Mlle Biche,Fräulein Reh,Signorina Cervo,Senhorita Cerva,Señorita Cierva,Мисс Олениха,,
TEXT_MR._COW,Text,,Mr. Cow,,M. Vache,Herr. Stier,Signor Mucca,Sr. Vaca,Sr. Vaca,Мистер Бык,,
TEXT_MR._PIG,Text,,Mr. Pig,,M. Cochon,Herr. Eber,Signor Maiale,Sr. Porco,Sr. Cerdo,Мистер Хряк,,
TEXT_MR._FOX,Text,,Mr. Fox,,M. Renard,Herr. Fuchs,Signor Volpe,Sr. Raposa,Sr. Zorro,Мистер Лис,,
TEXT_MR._BEAR,Text,,Mr. Bear,,M. Ours,Herr. Bär,Signor Orso,Sr. Urso,Sr. oso,Мистер Медведь,,
TEXT_MRS._PENGUIN,Text,,Mrs. Penguin,,Mme. Pingouin,Frau. Pinguin,Signora Pinguino,Sra. Pinguim,Sra. Pingüino,Мисс Пингвин,,
TEXT_MISS_RABBIT,Text,,Miss Rabbit,,Mlle Lapine,Fräulein Kaninchen,Signorina Coniglio,Senhorita Coelha,Señorita Conejo,Мисс Кролик,,
TEXT_MR._RACOON,Text,,Mr. Racoon,,M. Raton Laveur,Herr. Waschbär,Signor Procione,Sr. Guaxinim,Sr. Mapache,Мистер Енот,,
TEXT_MISS_COALA,Text,,Miss Coala,,Mlle Koala,Fräulein Koala,Signorina Coala,Senhorita Coala,Señorita Koala,Мисс Коала,,
TEXT_MR._OWL,Text,,Mr. Owl,,M. Hibou,Herr. Eule,Signor Gufo,Sr. Coruja,Sr. Búho,Мистер Филин,,
TEXT_BALLOONS_GAME,Text,,Balloons Game,,Jeu de Ballons,BALLONSPIEL,Gioco dei Palloncini,Jogo de Balões,Juego de Globos,Игра в Шарики,,
TEXT_PUZZLE_GAME,Text,,Puzzle Game,,Jeu de Puzzle,PUZZLESPIEL,Gioco Puzzle,Jogo de Quebra-cabeças,Juego de Rompecabezas,ИГРА-ГОЛОВОЛОМКА,,
TEXT_FEED_THE_ANIMALS,Text,,Feed the Animals,,Nourrir les Animaux,Füttere die Tiere,Nutri gli Animali,Alimente os Animais,Alimenta a los Animales,Накорми Животных,,
TEXT_FIND_DIFFERENCE,Text,,Find Difference,,Trouver la Différence,Finde den Unterschied,Trova le Differenze,Encontre as Diferenças,Encuentra la Diferencia,Найди Различия,,
TEXT_CLAIM_THE_GIFT,Text,,Claim the Gift,,Réclamer le Cadeau,Hol Dir das Geschenk,Reclama il Premio,Reclame o Presente,Reclama el Regalo,Забрать Подарок,,
TEXT_SHARE_TO_UNLOCK,Text,,Share to Unlock,,Partager Pour Débloquer,Zum Freischalten Teilen,Condividi per Sbloccare,Compartilhe Para Desbloquear,Comparte Para Desbloquear,"Поделитесь, Чтобы Открыть",,
TEXT_UNLOCK_ALL_CATEGORIES,Text,,Unlock All Categories,,Débloquer Toutes les Catégories,Alle Kategorien Freischalten,Sblocca Tutte le Categorie,Desbloquear Todas as Categorias,Desbloquea Todas las Categorías,Открыть Все Категории,,
TEXT_GAME_SHOP,Text,,Game Shop,,Boutique des Jeux,SPIELGESCHÄFT,Negozio del Gioco,Loja do Jogo,Tienda del Juego,Игровой Магазин,,
TEXT_SLEEP,Text,,SLEEP,,SOMMEIL,SCHLAFEN,DORMI,DORMIR,DORMIR,СОН,,
TEXT_FUN,Text,,FUN,,AMUSANT,SPASS,DIVERTENTE,DIVERSÃO,DIVERSIÓN,ВЕСЕЛЬЕ,,სახალისო
TEXT_RELAX,Text,,RELAX,,RELAX,ENTSPANNEN,RILASSATI,RELAX,RELAJARSE,ОТДЫХ,,
TEXT_DANCE,Text,,DANCE,,DANSE,TANZEN,BALLA,DANÇA,BAILAR,ТАНЦЫ,,ცეკვა
TEXT_MAGIC,Text,,MAGIC,,MAGIQUE,ZAUBEREI,MAGICO,MAGIA,MAGIA,МАГИЯ,,
TEXT_TIGER_RATTLE_UNLOCKED,Text,,Tiger Rattle Unlocked,,Hochet du Tigre Débloqué,Tigerrassel Freigeschaltet,Sbloccato il Sonaglio Tigre,Chocalho de Tigre Desbloqueado,Cascabel de Tigre Desbloqueado,Открыта Тигриная Погремушка,,
TEXT_DOUBLE_TAP,Text,,Double Tap,დააწექით ორჯერ,Appuyer Deux Fois,Doppelt Antippen,Tocca Due Volte,Toque Duplo,Doble Toque,Двойное Нажатие,,დააწექით ორჯერ
TEXT_OPEN_GIFT,Text,,Open Gift,,Ouvrir le Cadeau,Geschenk Öffnen,Apri il Regalo,Abir Presente,Abrir Regalo,Открыть Подарок,,
TEXT_DINO,Text,,DINO,დინოზავრი,DINOSAURE,DINO,DINO,DINO,DINOSAURIO,ДИНОЗАВР,,დინოზავრი
TEXT_KITCHEN,Text,,KITCHEN,სამზარეულო,CUISINE,KÜCHE,CUCINA,COZINHA,COCINA,КУХНЯ,,სამზარეულო
TEXT_FARM,Text,,FARM,ფერმა,FERME,BAUERNHOF,FATTORIA,FAZENDA,GRANJA,ФЕРМА,,ფერმა
"TEXT_""""""DINO_WORLD""""_IS_LOCKED""",Text,,"""dino World"" is Locked",,« monde des Dinosaures » Bloqué,„dino World“ ist Gesperrt,“dino World” è Bloccato,“dino World” Está Bloqueado,"""dino World"" Está Bloqueado",«dino World» Закрыт,,
"TEXT_""""""FARM_LIFE""""_IS_LOCKED""",Text,,"""farm Life"" is Locked",,« vie de la Ferme » Bloquée,„farm Life“ ist Gesperrt,“farm Life” è Bloccato,“farm Life” Está Bloqueado,"""farm Life"" Está Bloqueado",«farm Life» Закрыта,,
"TEXT_""""""SEA_WORLD""""_IS_LOCKED""",Text,,"""sea World"" is Locked",,« monde Marin » Bloqué,„sea World“ ist Gesperrt,“sea World” è Bloccato,“sea World” Está Bloqueado,"""sea World"" Está Bloqueado",«sea World» Закрыт,,
"TEXT_""""""FUN_TOYS""""_IS_LOCKED""",Text,,"""fun Toys"" is Locked",,« jouets Amusants » Bloqués,„fun Toys“ ist Gesperrt,“fun Toys” è Bloccato,“fun Toys” Está Bloqueado,"""fun Toys"" Está Bloqueado",«fun Toys» Закрыты,,
TEXT_BUY,Text,,BUY,,ACHETER,KAUFEN,COMPRA,COMPRAR,COMPRAR,КУПИТЬ,,
"TEXT_""""""INSECT_WORLD""""_IS_LOCKED""",Text,,"""insect World"" is Locked",,« monde des Insectes » Bloqué,„insect World“ ist Gesperrt,“insect World” è Bloccato,“insect World” Está Bloqueado,"""insect World"" Está Bloqueado",«insect World» Закрыт,,
"TEXT_""""""HAPPY_FLOWERS""""_IS_LOCKED""",Text,,"""happy Flowers"" is Locked",,« fleurs Joyeuses » Bloquées,„happy Flowers“ ist Gesperrt,“happy Flowers” è Bloccato,“happy Flowers” Está Bloqueado,"""happy Flowers"" Está Bloqueado",«happy Flowers» Закрыты,,
TEXT_CLASIC_POP,Text,,Clasic Pop,კლასიკური რეჟიმი,Éclatement Classique,Klassisches Platzen,Classico Gioco Scoppio,Pop Clássico,Pop Clásico,Классические Шарики,,
